category,total_spend,n_transactions,n_periods_active,mean_anomaly_rate_pct,mean_new_supplier_rate_pct,mean_hhi,share_of_total_spend_pct,pct_change_pre_to_covid,pct_change_covid_to_post
Services from other NHS bodies,140920112998.60037,117838.0,3.0,1.645,0.087,130.1,76.9356,102.61486325107694,49.6623264748692
Purchase of healthcare from non-NHS bodies,9555994661.689425,27855.0,3.0,0.948,1.695,593.8,5.2171,189.91731466745043,-49.67195606591254
Education and training,8220515518.766952,6519.0,3.0,2.746,5.491,163.1,4.488,45.71507710153657,23461.48828406961
Unspecified,7249984846.64718,12099.0,1.0,8.505,2.761,131.2,3.9581,,
Supplies and services – general,4993141598.022248,17433.0,3.0,0.878,3.872,516.3,2.726,213.221564724107,86.61643905389059
Supplies and services – clinical,2843786831.7400002,7027.0,3.0,0.384,0.655,155.8,1.5526,884.8741886876768,-76.4904405600904
GPMS/APMS and PCTMS,2774088824.86,26807.0,3.0,1.746,6.465,53.4,1.5145,233.411163821422,-56.34254776160176
Establishment,1850889234.2560372,9429.0,3.0,0.657,4.677,314.1,1.0105,220.438349668344,145.40870737343903
Capital,1441251160.9699998,5673.0,3.0,1.728,6.505,116.8,0.7869,119.69901703380133,20.3456549469522
Other professional fees,632984497.2785,2946.0,3.0,0.747,5.363,1057.8,0.3456,506.7587727565673,49.24716151188997
Premises,400562888.41999996,3226.0,3.0,0.558,1.333,2884.8,0.2187,138.4533530469612,-0.363817769445079
Supplies and services - general,379280365.54,658.0,1.0,0.608,8.967,120.5,0.2071,,-100.0
Grants to Other public bodies,321894080.02,328.0,3.0,8.536,4.878,4035.1,0.1757,875.7658979835272,-8.601693030804128
General Opthalmic services,310281254.39,8219.0,3.0,7.665,1.813,6381.6,0.1694,102.0383841283913,-37.67138312338443
Consultancy services,290874939.5737481,1671.0,3.0,1.078,9.395,758.7,0.1588,215.43228243850425,534.0986028882238
General Dental services and personal dental services,187061875.94,1250.0,3.0,0.56,1.04,517.3,0.1021,-62.91187651188709,-43.131258514226175
Investments Govt Security,81500000.0,4.0,1.0,0.0,0.0,5031.8,0.0445,-100.0,
PAYE,80019324.55,43.0,2.0,0.0,0.0,10000.0,0.0437,-58.09944996343135,-100.0
Transport,77031050.25,207.0,3.0,0.966,1.932,9643.1,0.0421,69.8631468604619,13.072289929657282
Drugs,52277668.019999996,735.0,3.0,0.136,0.544,2401.4,0.0285,400.4703001789804,-97.1402840256874
Pharmaceutical services,48400625.47,331.0,3.0,0.906,1.813,1592.0,0.0264,58.32578335659111,79.61009847383438
CNST - NHS Resolution,34548128.4,21.0,2.0,0.0,4.762,9140.3,0.0189,993.295148583138,-100.0
NonNHS Trade Pybls Curr,33789505.8,545.0,3.0,0.0,0.55,3934.8,0.0184,-43.9817833204349,-90.57412153669094
NonRes Bldg Additions,26838146.3,189.0,3.0,2.645,15.873,3962.8,0.0147,1139.530188589566,-95.15204687513526
Laboratory External Tests,26310136.95,117.0,2.0,0.0,0.0,5410.7,0.0144,102.72084632695775,-100.0
CNST CONTRIBUTIONS,20950886.000000004,32.0,2.0,0.0,3.125,8088.1,0.0114,-74.796530555992,-100.0
Other Liabilities - Curr,19854016.32,227.0,3.0,0.0,0.441,9608.0,0.0108,51.01709388480643,-95.95361758912004
Med Equip Additions,11510490.989557745,180.0,3.0,5.0,18.334,1161.3,0.0063,355.72516821239293,-99.10415505269876
CNST contributions,11445252.6,8.0,1.0,0.0,0.0,10000.0,0.0062,-100.0,
Blood Products,10884110.719999999,117.0,3.0,0.0,1.71,4412.5,0.0059,81.55190342832087,-94.11467250486736
STRUCTURE,10871847.91,57.0,2.0,1.754,3.509,4309.7,0.0059,-90.9260386068674,-100.0
PATHOLOGY SERVICES,10373252.64,13.0,2.0,0.0,0.0,10000.0,0.0057,-50.25481641277645,-100.0
Services Received - NHSTs,10156092.98,208.0,3.0,0.962,0.961,3416.6,0.0055,230.54444443529368,-78.72958880117812
Computer Maintenance,9875449.010000002,233.0,3.0,3.863,5.58,1762.2,0.0054,54.33635356664264,-97.69994908606104
RESUS STOCK CONSUMABLES,8978549.620000001,32.0,2.0,0.0,3.125,8032.0,0.0049,-15.34790373768515,-100.0
Contr Other External,8950224.22,175.0,3.0,1.143,2.857,1982.9,0.0049,20.752831295904716,-97.53633775882324
LLOYDS PHARMACY,8614847.81,9.0,2.0,0.0,0.0,10000.0,0.0047,-86.5347993526287,-100.0
Electricity,8375942.9799999995,72.0,3.0,0.0,1.389,6996.6,0.0046,369.9693264445336,-97.54824453861136
IT Additions,8189177.33,231.0,3.0,1.732,2.597,4157.9,0.0045,1032.5664841897808,-95.14092630983298
Grants Research Exp,7953308.7488,148.0,3.0,3.378,10.135,2309.5,0.0043,182.89339026785743,-91.47081383268264
Med & Surg Equip General,6915906.09,208.0,2.0,2.404,8.173,1840.2,0.0038,2302.379423909409,-100.0
Rates,5598443.91,73.0,3.0,0.0,0.0,8644.4,0.0031,71.600129115494,-95.50896959353872
Other NHS Payables <1Yr,5456891.43,65.0,3.0,0.0,0.0,6774.7,0.003,343.9578417250732,-95.21239861798236
Lease Charges,5289719.82,108.0,3.0,0.0,0.926,5337.8,0.0029,47.49243561743563,-94.93680348950568
CTRL Prepayments <1Yr,5205707.09,38.0,3.0,0.0,0.0,10000.0,0.0028,256.60169824614394,-94.09338698467496
Computer Software/License,4725497.6,93.0,3.0,1.075,11.828,2892.5,0.0026,737.8716522920917,-94.14388690946429
Purch Tang FA AUC Addns,4550131.54,27.0,2.0,0.0,0.0,8176.1,0.0025,58.26808544342003,-100.0
EQUIPMENT >5K,4513509.07,42.0,2.0,2.381,26.191,2568.7,0.0025,135.27252487180817,-100.0
Independent Sector,3897622.93,63.0,2.0,1.587,0.0,4678.4,0.0021,126.22798111139716,-100.0
National Insurance - Curr,3763595.44,1.0,1.0,100.0,100.0,10000.0,0.0021,,
Med & Surg Maint Contract,3761027.62,67.0,3.0,1.492,4.478,3771.5,0.0021,84.61128980590242,-97.0728977712552
Research and development (excluding staff costs),3278179.89,35.0,3.0,2.857,11.428,2268.7,0.0018,151.9364420053603,515.1562207132215
Income tax - Current,3256431.09,1.0,1.0,0.0,0.0,10000.0,0.0018,,
Minor Works,3165693.48,40.0,3.0,5.0,7.5,8629.7,0.0017,108.00547923487731,-88.24140233633861
PHARMACY PILGRIM,3135956.4000000004,82.0,2.0,0.0,2.439,3943.0,0.0017,-78.51660247694532,-100.0
Ext Contr Laundry,3099669.8199999994,43.0,3.0,2.326,2.326,8801.4,0.0017,60.58181562216895,-93.5295051378182
CompSwrPrch Additions,3085283.4,47.0,3.0,8.51,17.021,1982.1,0.0017,2259.7830087841257,-99.16219793489284
