year_month,total_spend,n_transactions,new_supplier_rate_pct,period,hhi,ml_anomaly_rate_pct
2019-01,1870958616.5396302,3430,0.0,Pre-COVID,110.74514604647588,0.0
2019-02,1642792456.253154,3396,0.0,Pre-COVID,114.54071039270708,0.0
2019-03,2102102544.0384977,4428,0.0,Pre-COVID,97.13188900839766,0.0
2019-04,2041177180.2100592,3388,0.0,Pre-COVID,107.307717687805,0.0
2019-05,2288176749.905111,3000,0.0,Pre-COVID,135.083790954254,0.0
2019-06,1908706553.6935775,3112,0.0,Pre-COVID,114.19101796359328,0.064
2019-07,2280574742.5084825,3097,2.002,Pre-COVID,135.7041312196191,0.0
2019-08,1673484200.5453904,2817,2.343,Pre-COVID,119.55657655628134,0.106
2019-09,2046919390.9193065,3135,1.978,Pre-COVID,115.03824297512378,0.478
2019-10,2002524103.665216,3161,1.392,Pre-COVID,144.492299619028,0.0
2019-11,2059842288.3442233,3039,2.205,Pre-COVID,122.55860199337732,0.165
2019-12,1868726490.49,2868,3.243,Pre-COVID,153.81486436632483,1.395
2020-01,1973064425.65,2988,2.209,Pre-COVID,121.28087288893164,0.335
2020-02,1679686823.9363341,2852,2.63,Pre-COVID,124.31856333282502,0.21
2020-03,2298798070.302175,4080,2.99,COVID,93.55241331771288,1.593
2020-03,2298798070.302175,4080,2.99,COVID,4005.135317693748,1.593
2020-04,3440944231.203976,3687,4.963,COVID,76.5329115767712,0.136
2020-05,4011107346.5574064,3605,2.857,COVID,82.84442390583801,1.72
2020-06,3097009804.1737757,2793,2.47,COVID,94.7683800919622,3.366
2020-07,2947513817.86,2705,1.996,COVID,89.8918060390553,0.85
2020-08,2968418335.292432,2272,2.069,COVID,87.31900973982992,3.697
2020-09,2952422870.677831,2555,1.409,COVID,87.41209759516722,1.37
2020-10,2538774630.8264074,2615,1.644,COVID,93.52380492478336,0.841
2020-11,1959850941.673122,2330,3.519,COVID,100.10302646887546,7.682
2020-12,2846752830.55,3081,6.426,COVID,87.45824320791726,2.856
2021-01,2308510740.797195,2843,4.397,COVID,99.19313928118116,4.537
2021-02,2982955656.58,4076,13.445,COVID,89.88229908669429,1.251
2021-03,2658815676.712062,6356,5.57,COVID,66.49245966560808,0.409
2021-04,2104662399.8908052,3416,4.655,COVID,87.07209677356093,0.322
2021-05,2221956458.0518975,3336,2.578,COVID,99.37238735421782,2.788
2021-06,2111843262.85,3542,2.428,COVID,90.96974444395605,0.395
2021-07,2246770585.94,3429,1.691,COVID,96.37769526107822,0.408
2021-08,2689775780.923967,4147,1.35,COVID,98.29349844697109,0.796
2021-09,2408853830.67271,3668,1.227,COVID,100.55225110530856,0.218
2021-10,2356330651.0154705,3303,1.211,COVID,113.38729802469344,0.727
2021-11,2481684384.441452,4549,1.561,COVID,92.89804786079762,0.923
2021-12,2342408267.4783125,3848,2.053,COVID,113.80204238317395,1.247
2022-01,2617810212.546982,4516,2.923,COVID,89.81719791334206,4.495
2022-02,2537255020.73522,4965,2.075,Post-COVID,1959.0539751237836,5.76
2022-02,2537255020.73522,4965,2.075,Post-COVID,90.11477776421964,5.76
2022-03,2696477384.2337346,5375,3.312,Post-COVID,87.33343784204133,0.298
2022-04,2143295547.4208348,3221,2.918,Post-COVID,112.25404951582406,0.497
2022-05,2129509616.213246,3084,2.043,Post-COVID,109.59036843319544,1.135
2022-06,2195865533.06,3182,2.388,Post-COVID,115.1289636740418,0.471
2022-07,2473718849.446,3055,1.669,Post-COVID,119.17139300477967,1.047
2022-08,2410270490.0,3004,1.931,Post-COVID,142.8410142798909,0.666
2022-09,2337334263.646791,3174,1.512,Post-COVID,113.35972369642674,0.536
2022-10,2311486754.2294726,3497,1.487,Post-COVID,114.95357407060588,3.517
2022-11,2334442542.836797,4166,1.584,Post-COVID,111.2874470321246,1.464
2022-12,2380973136.122034,4051,2.148,Post-COVID,108.65370612114916,2.469
2023-01,2328268855.3810062,3620,1.547,Post-COVID,110.40859450331244,3.646
2023-02,2420253334.845136,3827,1.542,Post-COVID,111.11770943140456,5.984
2023-03,2864888708.4661694,5224,2.01,Post-COVID,103.32183120096582,0.574
2023-04,3232886894.4031396,3535,2.999,Post-COVID,109.24846049662254,2.093
2023-05,2711129240.059276,4018,3.086,Post-COVID,128.88236764940635,1.095
2023-06,5648367310.594799,4631,1.943,Post-COVID,81.11677292105381,1.36
2023-07,3460889865.1276827,4757,1.619,Post-COVID,101.6510439583711,4.394
2023-08,2520104616.32,4333,1.085,Post-COVID,117.4241858733306,0.623
2023-09,2680841467.4504666,4219,1.185,Post-COVID,112.67798958418722,0.853
2023-10,3848289082.759541,4721,1.292,Post-COVID,103.26986911041205,3.114
2023-11,2604965734.233657,4845,1.507,Post-COVID,113.5655318957778,1.486
2023-12,2587027788.868659,4486,1.627,Post-COVID,117.10227975287424,6.687
2024-01,2689256922.830274,4914,1.262,Post-COVID,109.61760304372974,4.355
2024-02,3440936394.8362327,4838,1.137,Post-COVID,107.10018774123265,2.398
2024-03,3063617699.53,5396,1.557,Post-COVID,108.96628874035034,3.225
2024-04,3263902725.475759,4159,1.803,Post-COVID,100.95730351629167,4.28
2024-05,2333602128.7343874,3965,1.261,Post-COVID,114.66395919393764,1.412
2024-06,2536612278.610013,3875,0.852,Post-COVID,137.49653912334594,3.045
2024-07,3559120171.9733996,4440,2.185,Post-COVID,107.09669655138516,3.333
2024-08,2227957439.4599743,3659,1.148,Post-COVID,134.84940373848102,1.53
2024-09,2424983046.85,3666,1.473,Post-COVID,130.13918903264974,6.356
2024-10,3875305119.17188,4689,0.917,Post-COVID,103.58289311337664,2.261
2024-11,2652587498.03132,4685,3.116,Post-COVID,127.010258223094,2.369
2024-12,2323268479.6058598,4604,3.475,Post-COVID,132.89791167137346,8.688
