supplier,total_transactions,total_spend,mean_transaction_amount,ml_anomaly_rate,mean_ml_anomaly_score,rule_flag_rate,is_network_hub,composite_risk_score,risk_tier,community_id,community_size
GREATER LONDON AUTHORITY,5,1850000.0,370000.0,0.6,0.0069829493449643,1.0,False,99.82156635802468,Critical,,
VAN DESSELL & PARTNERS,5,623406.68,124681.336,0.4,-0.024658911523455,0.4,False,97.8732638888889,Critical,,
EAST COAST COMMUNITY HEALTHCARE CIC,6,1457922.7999999998,242987.1333333333,0.1666666666666666,-0.0215015618644739,0.5,False,97.8684413580247,Critical,,
STAFFORDSHIRE COUNTY COUNCIL,5,4817538.39,963507.678,0.2,-0.0326949461458463,0.4,False,97.16435185185183,Critical,,
KENT COUNTY COUNCIL (EXCH SEC MAIDSTONE),16,14727768.23,920485.514375,0.375,-0.0490173563584104,0.4375,False,96.96180555555554,Critical,,
GREATER MANCHESTER COMBINED AUTHORITY (GMCA),12,5810184.49,484182.0408333333,0.1666666666666666,-0.0544242484299294,0.6666666666666666,False,96.460262345679,Critical,,
GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2477,4622934392.34,1866344.1228663707,0.1631005248284214,-0.0338286861545255,0.3605167541380703,True,95.6597222222222,Critical,0.0,590.0
DRAYTON MEDICAL PRACTICE,6,702355.74,117059.29,0.1666666666666666,-0.026169536294173,0.3333333333333333,False,95.654899691358,Critical,8.0,61.0
LGBT FOUNDATION LTD,6,662603.0,110433.83333333331,0.1666666666666666,-0.0283086411176026,0.3333333333333333,False,95.59702932098764,Critical,,
CITY OF STOKE ON TRENT,7,7301056.0,1043008.0,0.1428571428571428,-0.0557812625972726,0.4285714285714285,False,95.34625771604938,Critical,,
LONDON COUNCILS,7,247000.0,35285.71428571428,0.1428571428571428,-0.0559010326922876,0.4285714285714285,False,95.32696759259258,Critical,,
UNITED HEALTHCARE DEVELOPMENTS LTD,13,12201166.66,938551.2815384616,0.2307692307692307,-0.0774399296904383,0.5384615384615384,False,94.98456790123456,Critical,,
INOVEM LTD,10,5285185.84,528518.584,0.3,-0.0359832350381332,0.3,False,94.9170524691358,Critical,,
ASSURA HC LTD,6,5535783.66,922630.61,0.3333333333333333,-0.0614855605837512,0.3333333333333333,False,94.43479938271604,Critical,,
ICF CONSULTING SERVICES LTD,7,583655.23,83379.31857142856,0.1428571428571428,0.0062672169104356,0.2857142857142857,False,94.42997685185183,Critical,,
GENOMICS ENGLAND LTD,29,82465973.34,2843654.2531034485,0.2413793103448276,-0.0561187089431483,0.3103448275862069,False,93.91396604938272,Critical,,
BARTON SURGERY (DAWLISH),8,497597.44,62199.68,0.25,-0.076406265575833,0.375,False,93.89467592592592,Critical,,
CPGM HEALTHCARE LTD CHL,6,1579114.28,263185.7133333333,0.1666666666666666,-0.0664102294113248,0.3333333333333333,False,93.3304398148148,Critical,,
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1852,3947803655.74,2131643.44262419,0.0998920086393088,-0.0460439724540186,0.3255939524838013,True,93.24845679012346,Critical,2.0,317.0
MCKINSEY & CO,15,13151689.34,876779.2893333334,0.2,-0.0870583030953067,0.4666666666666667,True,92.9639274691358,Critical,0.0,590.0
