category,spend_covid,spend_post_covid,spend_pre_covid,pct_change_pre_to_covid,pct_change_covid_to_post,n_transactions_total
CompSwrPrch Additions,2936254.4000000004,12579673.2,124429.0,2259.783008784126,328.4258611924089,166
Med & Surg Equip General,6639532.89,7990099.9,308125.2,2054.8165778066837,20.341295575689223,476
MSSE CONSUMABLES,2748594.65,0.0,197929.41,1288.6741995542752,-100.0,65
DIAGNOSTIC TESTS NON NHS,1401338.8399999999,0.0,107255.0,1206.5487296629526,-100.0,33
COMP SOFTWARE LICENCE FEES,1174506.24,0.0,97091.62,1109.6885807446617,-100.0,16
CNST - NHS Resolution,31652941.2,46533870.3,2895187.2,993.2951485831381,47.012784707665645,48
IT Additions,7203166.33,12506870.559999999,690003.8400000001,943.931339570516,73.63017854954904,509
Computer Hardware Purch,265335.46,1798246.4600000004,26300.590000000004,908.8574438824376,577.7256458673108,49
NonRes Bldg Additions,23768340.169999998,49536405.68000001,2365328.14,904.8643893443046,108.4133991927801,449
Supplies and services – clinical,2127577445.1599998,537025683.77,216025302.48000002,884.8741886876768,-74.75881853364854,7094
Other Patients Expenses,256151.6,31932.7,26033.04,883.9480905802781,-87.53367146642847,10
QUALIFIED AGENCY INVOICES,14113260.02,0.0,1438089.4000000001,881.3896145816802,-100.0,348
Grants to Other public bodies,159632730.45,145901613.0,16359736.57,875.7658979835272,-8.601693030804128,328
BUILD MAINT EXT CONTRACTS,1464109.7300000002,0.0,153140.7,856.0552681292434,-100.0,18
Computer Software/License,4011760.64,52550643.51731741,547174.92,633.1769957585044,1209.9147290431915,521
SrvcsRecd-FoundationTrust,1560318.29,4046666.75,256522.0,508.25905380435205,159.3487992760759,59
Other professional fees,238207519.91599995,378698003.9125,39259015.379999995,506.7587727565672,58.97819012852398,3059
ENGIN AND MAINT EXT CONTRACTS,680348.78,0.0,113642.65,498.67380776495446,-100.0,13
EQUIPMENT REPAIRS _ MATERIALS,140410.63,0.0,24868.86,464.6042078326067,-100.0,7
LIBRARY RESOURCES,138172.0,0.0,27609.47,400.45147552633205,-100.0,4
Drugs,42557209.20999999,67216922.11,9056116.45,369.92780453921836,57.94485436842396,1868
Miscellaneous Expenditure,1275140.9,1784214.53,272347.76,368.20318992159133,39.92293165406271,36
OTHER NURSING,1942525.74,0.0,415974.96,366.9814115734274,-100.0,21
Electricity,7022909.86,12909585.149999999,1540819.5,355.79056210023305,83.82102870960098,205
