category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
ACCOMMODATION,pre_covid,1,1,64800.0,0.0,0.0,100.0,10000.0
AGENCY ADMIN CLERICAL,covid,1,1,50776.99,0.0,0.0,100.0,10000.0
AGENCY HCA  OTHER SUPP STAFF,covid,1,1,73128.0,0.0,0.0,100.0,10000.0
AGENCY OTHER STT QUALIFIED,covid,2,1,953004.22,0.002,0.0,0.0,10000.0
APPRENTICE LEVY (HMRC),covid,2,1,18202.0,0.0,0.0,0.0,10000.0
APPRENTICE LEVY (HMRC),pre_covid,7,1,54620.0,0.0,0.0,0.0,10000.0
AUC Additions,covid,6,4,500367.89999999997,0.001,0.0,16.667,5696.8
AUC Additions,pre_covid,3,2,403676.29000000004,0.001,0.0,0.0,8362.2
Admin & Clerical Band 8B,covid,8,1,31749.75,0.0,0.0,0.0,10000.0
Advertising,covid,2,1,35493.6,0.0,50.0,0.0,10000.0
Advertising,post_covid,1,1,29578.0,0.0,0.0,0.0,10000.0
Agency Healthcare Asst,covid,1,1,306.0,0.0,0.0,0.0,10000.0
Agency Nursing Qualified,covid,1009,4,1289373.01,0.002,3.568,0.198,7850.8
Agency Nursing Qualified,post_covid,43,1,72002.20999999999,0.0,25.581,0.0,10000.0
Agency Nursing Qualified,pre_covid,313,5,505693.35,0.002,0.958,0.639,3950.7
Agency Nursing:Op Dept Pr,covid,3,1,3189.9700000000003,0.0,0.0,0.0,10000.0
Agency Nursing:Op Dept Pr,pre_covid,6,1,5961.9,0.0,0.0,0.0,10000.0
Agency Prof & Tech,covid,1,1,35000.0,0.0,0.0,0.0,10000.0
Anaesthetics Accessories,covid,2,1,174803.04,0.0,0.0,50.0,10000.0
Audit Fees: Ext non-stat,pre_covid,2,1,88015.0,0.0,0.0,0.0,10000.0
Audit Fees: Internal,covid,8,1,388783.0,0.001,0.0,0.0,10000.0
Audit Fees: Internal,pre_covid,2,1,88450.0,0.0,0.0,0.0,10000.0
Audit Fees: Statutory,covid,3,1,122845.45000000001,0.0,33.333,0.0,10000.0
Audit Fees: Statutory,pre_covid,1,1,56000.0,0.0,0.0,0.0,10000.0
BLOOD PRODUCTS,covid,2,1,162700.39,0.0,0.0,0.0,10000.0
BLOOD PRODUCTS,pre_covid,9,1,713096.07,0.003,0.0,11.111,10000.0
BUILD MAINT DAY TO DAY,pre_covid,2,1,80408.0,0.0,0.0,0.0,10000.0
BUILD MAINT EXT CONTRACTS,covid,3,2,416549.63,0.001,33.333,33.333,7180.6
BUILD MAINT EXT CONTRACTS,pre_covid,4,2,120288.3,0.0,0.0,0.0,7444.3
Bldg/Eng Equip Maint Cont,pre_covid,1,1,23787.56,0.0,0.0,0.0,10000.0
Bldg/Eng Equip Maint/Rep,post_covid,1,1,37650.0,0.0,100.0,0.0,10000.0
Bldg/Eng Equip Maint/Rep,pre_covid,1,1,36532.0,0.0,0.0,0.0,10000.0
Blood Products,covid,77,6,6761745.379999999,0.011,0.0,0.0,4362.7
Blood Products,post_covid,4,2,397950.86,0.0,0.0,0.0,5255.4
Blood Products,pre_covid,36,5,3724414.48,0.014,0.0,5.556,4425.4
"Books, Journals & Subscr",covid,10,6,285489.1879024,0.0,0.0,30.0,1973.8
"Books, Journals & Subscr",pre_covid,4,2,136800.0,0.001,0.0,0.0,6675.9
Building Works,covid,3,2,280427.05,0.0,0.0,33.333,5002.6
CHILDCARE VOUCHERS,pre_covid,5,1,153620.11000000002,0.001,0.0,0.0,10000.0
CLINICAL SERVICE CONTRACT,covid,5,2,218309.49,0.0,0.0,0.0,5440.8
CLINICAL SERVICE CONTRACT,pre_covid,9,2,297080.83999999997,0.001,0.0,0.0,5834.0
CLINICAL SERVICES FROM NON-NHS,covid,1,1,285565.92,0.0,0.0,0.0,10000.0
CLINICAL SERVICES OTHER NHS,covid,1,1,28474.87,0.0,0.0,0.0,10000.0
CNST - NHS Resolution,covid,19,2,31652941.2,0.053,0.0,5.263,9049.8
CNST - NHS Resolution,pre_covid,2,1,2895187.2,0.011,0.0,0.0,10000.0
CNST CONTRIBUTIONS,covid,4,1,4217415.2,0.007,0.0,0.0,10000.0
CNST CONTRIBUTIONS,pre_covid,28,2,16733470.800000003,0.061,0.0,3.571,7815.0
CNST contributions,pre_covid,8,1,11445252.6,0.042,0.0,0.0,10000.0
COMP SOFTWARE LICENCE FEES,covid,1,1,38799.6,0.0,0.0,100.0,10000.0
COMP SOFTWARE LICENCE FEES,pre_covid,1,1,10323.0,0.0,0.0,0.0,10000.0
COMPUTER HARDWARE,covid,10,5,551801.9,0.001,0.0,20.0,3191.3
COMPUTER HARDWARE,pre_covid,14,3,778383.5499999998,0.003,0.0,7.143,3942.9
COMPUTER PURCHASE ACCESSORIES,pre_covid,3,3,456557.56,0.002,0.0,33.333,7745.4
COMPUTER SOFTWARE,covid,1,1,140088.0,0.0,0.0,0.0,10000.0
CONSULTANCY DELIVERY,covid,1,1,31104.0,0.0,0.0,100.0,10000.0
CONSULTANCY DELIVERY,pre_covid,11,5,973681.69,0.004,0.0,9.091,5564.4
CONSULTANCY STRATEGY,pre_covid,2,2,87674.62,0.0,0.0,50.0,5768.0
CONSULTANTS FEES,covid,2,2,319300.27,0.001,0.0,0.0,8612.8
CONSULTANTS FEES,pre_covid,17,4,693020.1,0.003,0.0,0.0,4230.3
