node,community_id,community_size
ACS BUSINESS SUPPLIES,0,609
DIGITAL HEALTH INTELLIGENCE,0,609
OMRON HEALTHCARE UK,0,609
AIMEDIADATA LTD TA VUELIO,0,609
INPHASE,0,609
INTEGRATED PATIENT CARE,0,609
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0,609
OXCERP SOBELL HOUSE,0,609
UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,0,609
ARCADIS CONSULTING UK,0,609
APPLE PRINT,0,609
MIDDLESBROUGH & STOCKON MIND,0,609
ASCRIBE LTD TA EMIS HEALTH,0,609
PINNACLE HEALTH PARTNERSHIP,0,609
GENERAL DYNAMICS UNITED KINGDOM,0,609
DELL COMPUTER CORPORATION,0,609
APPLIDD SOLUTIONS,0,609
EDGE HILL UNIVERSITY,0,609
SOL TEC,0,609
DAVE THORNTON,0,609
SOFTCAT,0,609
PLAYFORDS,0,609
ZENDESK,0,609
NHS BLACKBURN WITH DARWEN CCG,0,609
SOUTHERN COMMUNICATIONS CORPORATE SOLUTIONS,0,609
TINKER TAYLOR,0,609
ARTHUR J GALLAGHER INSURANCE BROKERS,0,609
VODAFONE CORPORATE,0,609
APC CARDIOVASCULAR,0,609
LINCOLN SCIENCE AND INNOVATION PARK,0,609
UNIVERSITY OF LEICESTER,0,609
GOVERNMENT PROPERTY AGENCY,0,609
EUROTECH COMPUTER SERVICES,0,609
LOWER GRANGE COMMUNITY ASSOCIATION,0,609
MULLENLOWE LONDON,0,609
BOOKWISE SOLUTIONS,0,609
ATTAIN HEALTH MANAGEMENT SERVICES,0,609
PORTAKABIN,0,609
DATABASE SERVICE PROVIDER GLOBAL,0,609
NATIONAL INSTITUTE FOR HEALTH AND CLINICAL EXCELLENCE,0,609
WEL MEDICAL,0,609
NHS SOUTHWARK CCG,0,609
MEDICAL DEFENSE SOCIETY,0,609
MDU SERVICES,0,609
AXSYS TECHNOLOGY,0,609
MBI HEALTHCARE TECHNOLOGIES,0,609
IMMUNO IVD AB,0,609
SOCAMEL UK,0,609
CLOUD TECHNOLOGY SOLUTIONS,0,609
O D CHOICES,0,609
NHS BRADFORD DISTRICT AND CRAVEN CCG,0,609
EMERGENT CROWN,0,609
HEPATITIS C TRUST,0,609
DE LAGE LANDEN LEASING,0,609
