node,node_type,degree,degree_centrality,betweenness_centrality,weighted_degree_n_transactions,total_amount,is_multi_trust_supplier,is_high_volume_supplier,is_hub_supplier
ARDEN & GEM CSU,buyer,106,0.020037807183364842,0.01792278060525394,1365,90439080.43,False,False,False
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,supplier,264,0.04990548204158791,0.06734493233873899,7156,1053295439.4562602,True,True,True
NEL CSU,buyer,81,0.015311909262759925,0.012624706008534761,920,97380327.19,False,False,False
NHS ENGLAND,supplier,4849,0.9166351606805293,0.9908715008363616,240788,181628029205.73132,True,True,True
NHS MIDLANDS AND LANCASHIRE CSU,buyer,75,0.014177693761814745,0.009844498435042573,983,64217485.9991005,False,False,False
NHS NORTH OF ENGLAND CSU,buyer,102,0.019281663516068054,0.012254539818818074,1624,195665957.56,False,False,False
"NHS SOUTH, CENTRAL & WEST CSU",buyer,122,0.023062381852551987,0.017517308168797967,1854,260487626.70173112,False,False,False
UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,supplier,97,0.018336483931947072,0.02434396457835443,1654,858196142.1099999,True,True,True
ADVISEINC,supplier,2,0.0003780718336483932,0.0,13,1785696.0,True,False,True
AKHTER COMPUTERS,supplier,2,0.0003780718336483932,0.0,19,1888982.9,True,False,True
ALEXANDER MANN SOLUTIONS,supplier,2,0.0003780718336483932,0.0,411,155751177.2,True,True,True
ANAPLAN,supplier,1,0.0001890359168241966,0.0,15,2217340.01,False,False,False
ANS GROUP,supplier,5,0.000945179584120983,0.0006196025712255929,87,18365292.86,True,False,True
AVANADE UK,supplier,2,0.0003780718336483932,0.0,26,4349170.75,True,False,True
BADENOCH & CLARK,supplier,2,0.0003780718336483932,0.0,20,979555.33,True,False,True
BARINGA PARTNERS,supplier,3,0.0005671077504725899,3.2769261057827004e-06,77,18565146.8,True,False,True
BARTS HEALTH NHS TRUST,supplier,2,0.0003780718336483932,0.0,1504,4433698992.83,True,True,True
BECHTLE DIRECT,supplier,1,0.0001890359168241966,0.0,9,1006266.8,False,False,False
BLUETEQ,supplier,5,0.000945179584120983,0.0008401937420822101,29,2433912.59,True,False,True
BOSTON CONSULTING GROUP UK,supplier,2,0.0003780718336483932,0.0,14,4731176.0,True,False,True
BOXXE,supplier,7,0.0013232514177693763,0.0010262771790694437,31,3794724.71,True,False,True
BROADCARE SOFTWARE,supplier,1,0.0001890359168241966,0.0,4,323700.0,False,False,False
BT GLOBAL SERVICES,supplier,7,0.0013232514177693763,0.0008321245198400074,325,29100494.58,True,True,True
BYTES SOFTWARE SERVICES,supplier,3,0.0005671077504725899,0.00030839904825560096,48,28925784.78,True,False,True
CCS MEDIA,supplier,1,0.0001890359168241966,0.0,2,122448.95,False,False,False
CDW,supplier,6,0.0011342155009451797,0.0008637358851523666,210,21161535.2,True,True,True
CENTERPRISE INTERNATIONAL,supplier,1,0.0001890359168241966,0.0,2,108671.87,False,False,False
CENTRE FOR MENTAL HEALTH TRAINING,supplier,1,0.0001890359168241966,0.0,3,80150.73000000001,False,False,False
CHANGETECH AS,supplier,1,0.0001890359168241966,0.0,2,103600.0,False,False,False
CHS HEALTHCARE SOFTWARE,supplier,2,0.0003780718336483932,3.2802063120947952e-06,7,955359.76,True,False,True
CISILION,supplier,1,0.0001890359168241966,0.0,6,535264.12,False,False,False
CMAP SOFTWARE,supplier,2,0.0003780718336483932,6.785485054930584e-06,6,258848.07,True,False,True
COMPUTACENTER UK,supplier,3,0.0005671077504725899,0.00030839904825560096,218,81136578.4286084,True,True,True
CORPORATE TRAVEL MANAGEMENT NORTH,supplier,5,0.000945179584120983,0.0005675431602156667,202,81278277.81,True,False,True
COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,supplier,2,0.0003780718336483932,0.0,491,172814633.82,True,True,True
CRAYON,supplier,1,0.0001890359168241966,0.0,2,128520.0,False,False,False
DELL CORPORATION,supplier,7,0.0013232514177693763,0.0010262771790694437,703,29727251.31,True,True,True
DELOITTE,supplier,6,0.0011342155009451797,0.0006594003321746664,326,49531032.23,True,True,True
DELOITTE MCS,supplier,2,0.0003780718336483932,0.0,19,1378372.13,True,False,True
EE,supplier,1,0.0001890359168241966,0.0,2,53500.08,False,False,False
EGTON MEDICAL INFORMATION SYSTEMS,supplier,6,0.0011342155009451797,0.0008637358851523666,197,63036007.95999999,True,False,True
EUROPEAN ELECTRONIQUE,supplier,5,0.000945179584120983,0.0005675431602156667,79,13486214.639999999,True,False,True
EUS HOLDINGS,supplier,1,0.0001890359168241966,0.0,4,142000.0,False,False,False
GARTNER UK,supplier,3,0.0005671077504725899,0.00023366852429034573,25,2706126.67,True,False,True
GB PARTNERSHIPS,supplier,1,0.0001890359168241966,0.0,2,119000.0,False,False,False
HEALTHWORKS VENTURES,supplier,1,0.0001890359168241966,0.0,8,327658.37,False,False,False
HIGH PERFORMANCE CHANGE,supplier,1,0.0001890359168241966,0.0,3,169920.0,False,False,False
HIPPO DIGITAL,supplier,2,0.0003780718336483932,0.0,242,55006997.89,True,True,True
HM REVENUE AND CUSTOMS,supplier,3,0.0005671077504725899,0.0002714551738610125,16,756203.9,True,False,True
HP INCUK,supplier,2,0.0003780718336483932,3.2769261057827004e-06,57,5178045.34,True,False,True
I5 HEALTH,supplier,1,0.0001890359168241966,0.0,2,79560.0,False,False,False
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,supplier,3,0.0005671077504725899,0.00023366852429034573,1520,3226992100.77,True,True,True
INFORM SOLUTIONS,supplier,1,0.0001890359168241966,0.0,2,83430.0,False,False,False
INNOVATE HEALTHCARE SERVICES,supplier,1,0.0001890359168241966,0.0,5,787065.8200000001,False,False,False
INSIGHT DIRECT UK,supplier,7,0.0013232514177693763,0.0010262771790694437,562,64923365.05,True,True,True
INTEGRAL HEALTH SOLUTIONS,supplier,3,0.0005671077504725899,0.00023366852429034573,58,7955953.28,True,False,True
INTERWORKS EUROPE,supplier,3,0.0005671077504725899,0.00027118371868715144,37,11022110.44,True,False,True
JOHNS HOPKINS HEALTHCARE SOLUTIONS,supplier,3,0.0005671077504725899,2.0501951683521443e-05,18,914785.24,True,False,True
KEYSTREAM HEALTHCARE RESOURCES,supplier,2,0.0003780718336483932,5.4394874721516406e-06,13,595082.1799999999,True,False,True
KINGSFIELD COMPUTER PRODUCTS,supplier,2,0.0003780718336483932,0.0,7,1189066.0,True,False,True
KNOWLEDGE ACADEMY LTD THE,supplier,2,0.0003780718336483932,5.434047984679489e-06,4,154135.2,True,False,True
KPMG,supplier,4,0.0007561436672967864,7.050113026129796e-05,207,123815926.24000001,True,True,True
LEICESTERSHIRE PARTNERSHIP NHS TRUST,supplier,2,0.0003780718336483932,0.0,364,124678352.13,True,True,True
LIBERATION ADVISORY,supplier,1,0.0001890359168241966,0.0,4,144000.0,False,False,False
LINKEDIN IRELAND,supplier,1,0.0001890359168241966,0.0,2,79300.0,False,False,False
LOGAN TOD & COMPANY,supplier,2,0.0003780718336483932,0.0,4,417950.0,True,False,True
MASON ADVISORY,supplier,2,0.0003780718336483932,0.0,26,1641102.01,True,False,True
MATRIX INSIGHT,supplier,1,0.0001890359168241966,0.0,2,77600.0,False,False,False
MCKINSEY & CO,supplier,2,0.0003780718336483932,0.0,15,13151689.34,True,False,True
ME LEARNING,supplier,1,0.0001890359168241966,0.0,2,158004.96,False,False,False
NATIONAL CHILDRENS BUREAU,supplier,2,0.0003780718336483932,0.0,19,1092228.26,True,False,True
NHS BLACK COUNTRY ICB,supplier,2,0.0003780718336483932,0.0,53,13523209.92,True,False,True
NHS GREATER MANCHESTER ICB,supplier,2,0.0003780718336483932,0.0,299,65340591.4,True,True,True
NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,supplier,2,0.0003780718336483932,0.0,34,18208975.68,True,False,True
NHS NORTH EAST LONDON ICB,supplier,2,0.0003780718336483932,0.0,73,25076002.419999998,True,False,True
NHS NORTHAMPTONSHIRE ICB,supplier,2,0.0003780718336483932,0.0,34,9879941.739999998,True,False,True
NHS PROPERTY SERVICES,supplier,8,0.0015122873345935729,0.0012044875749016037,2803,229831749.73999998,True,True,True
NHS SOUTH WEST LONDON ICB,supplier,4,0.0007561436672967864,0.00024401772985059494,47,15826340.56,True,False,True
NORFOLK COUNTY COUNCIL,supplier,2,0.0003780718336483932,0.0,24,2240461.88,True,False,True
NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,supplier,2,0.0003780718336483932,0.0,539,268613768.88,True,True,True
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,supplier,2,0.0003780718336483932,0.0,1514,3222524501.92,True,True,True
OUTCOMES BASED HEALTHCARE,supplier,3,0.0005671077504725899,0.00023366852429034573,27,20764376.770000003,True,False,True
PA CONSULTING SERVICES,supplier,4,0.0007561436672967864,0.0005878770669946131,560,139465644.38000003,True,True,True
PALANTIR TECHNOLOGIES UK,supplier,3,0.0005671077504725899,3.2802063120947952e-06,99,133996141.17,True,False,True
PHOENIX PARTNERSHIP LEEDS,supplier,6,0.0011342155009451797,0.0006983310741476834,173,55699174.11000001,True,False,True
PHOENIX SOFTWARE,supplier,5,0.000945179584120983,0.00033974852730479376,78,8447955.71,True,False,True
PRICEWATERHOUSECOOPERS,supplier,3,0.0005671077504725899,0.00023366852429034573,93,25887135.54,True,False,True
PRIVATE PUBLIC,supplier,2,0.0003780718336483932,0.0,12,614969.19,True,False,True
PROACT IT UK,supplier,1,0.0001890359168241966,0.0,4,187094.97999999998,False,False,False
RISUAL,supplier,1,0.0001890359168241966,0.0,5,977581.2000000001,False,False,False
ROYAL FREE LONDON NHS FOUNDATION TRUST,supplier,3,0.0005671077504725899,0.00023366852429034573,1539,2867513374.88,True,True,True
SALFORD ROYAL NHS FOUNDATION TRUST,supplier,3,0.0005671077504725899,0.00027118371868715144,239,730753941.17,True,True,True
SATELLITE APPLICATIONS CATAPULT,supplier,1,0.0001890359168241966,0.0,3,317730.0,False,False,False
SEYMOUR JOHN PUBLIC SERVICES,supplier,2,0.0003780718336483932,5.710889482399498e-06,60,3425692.53,True,False,True
SEYMOUR JOHN PUBLIC SERVICES MIDLANDS,supplier,2,0.0003780718336483932,5.7166060884879855e-06,15,910173.6,True,False,True
SOFTCAT,supplier,8,0.0015122873345935729,0.0012032830873267022,299,109026536.64999999,True,True,True
SOFTWARE BOX,supplier,4,0.0007561436672967864,3.769512070933141e-05,19,2413655.33,True,False,True
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,supplier,3,0.0005671077504725899,0.00027118371868715144,531,291815092.73,True,True,True
SOUTHERN COMMUNICATIONS CORPORATE SOLUTIONS,supplier,1,0.0001890359168241966,0.0,2,87123.13,False,False,False
SPECIALIST COMPUTER CENTRES,supplier,6,0.0011342155009451797,0.0006983310741476834,216,39306579.7,True,True,True
STORM TECHNOLOGIES,supplier,1,0.0001890359168241966,0.0,4,214186.75,False,False,False
TALK STRAIGHT,supplier,2,0.0003780718336483932,5.434047984679489e-06,4,146987.52000000002,True,False,True
TEKIHEALTH SOLUTIONS,supplier,1,0.0001890359168241966,0.0,3,224945.92,False,False,False
TOTAL COMPUTER NETWORKS,supplier,1,0.0001890359168241966,0.0,2,126473.54000000001,False,False,False
TRANSPUTEC,supplier,1,0.0001890359168241966,0.0,3,119162.21,False,False,False
TRUSTMARQUE SOLUTIONS,supplier,7,0.0013232514177693763,0.0011289832230386414,272,69510987.17,True,True,True
TWS PARTNERS,supplier,2,0.0003780718336483932,0.0,6,696538.0,True,False,True
UIPATH SRL,supplier,2,0.0003780718336483932,3.2769261057827004e-06,4,801984.06,True,False,True
UNIVERSITY OF YORK,supplier,4,0.0007561436672967864,5.903975544822494e-05,91,20508604.59,True,False,True
