date,observed,trend,seasonal,resid
2019-01-01,1862089525.0496302,1926820597.3111987,-57359802.21249972,-7371270.049068928
2019-02-01,1642749717.763154,1934896708.451811,-305737292.31239194,13590301.623734951
2019-03-01,2085990842.9584978,1943018730.2505462,158711284.86009276,-15739172.152141333
2019-04-01,2039091340.6100593,1951200696.2330687,80853431.7458276,7037212.631162882
2019-05-01,2270068574.495111,1959464372.0086834,300705281.65438926,9898920.832038164
2019-06-01,1892859006.2635775,1967831894.505876,-88265675.1779899,13292786.935691357
2019-07-01,2280574742.5084825,1976320504.7919455,300357316.38012034,3896921.3364167213
2019-08-01,1673484200.5453904,1984939143.8753457,-308008476.32677054,-3446467.0031847954
2019-09-01,2046919390.9193065,1993690675.6740859,61480386.19533636,-8251670.950115681
2019-10-01,1983987352.065216,2002589488.2683215,-3774331.2371225534,-14827804.965982914
2019-11-01,2059842288.3442233,2011755874.1674168,71397734.38512914,-23311320.208322763
2019-12-01,1868726490.49,2021763214.5124967,-131951141.7241843,-21085582.298312426
2020-01-01,1973015350.99,2038386489.4712734,-64856346.032280736,-514792.4489927292
2020-02-01,1666390368.566334,2061194420.8666136,-178292278.91990805,-216511773.38037157
2020-03-01,2278851702.152175,2087388395.867806,192631042.0544274,-1167735.7700583935
2020-04-01,3440707062.193976,2115254457.6515002,-92915087.07212354,1418367691.6145992
2020-05-01,3938188679.7674065,2142718324.362968,78827234.70558792,1716643120.6988506
2020-06-01,3094861577.183776,2168930283.8611937,-169969788.8156928,1095901082.1382751
2020-07-01,2931463762.63,2192608446.3153586,403070933.0933228,335784383.2213187
2020-08-01,2968418335.292432,2214442714.5617237,-247103387.64922252,1001079008.3799305
2020-09-01,2952422870.677831,2236834239.64034,6942088.39262735,708646542.6448641
2020-10-01,2538774630.8264074,2261926790.691455,269214446.9522125,7633393.1827402115
2020-11-01,1942645895.943122,2289054155.2195463,12507825.094783274,-358916084.3712077
2020-12-01,2825945482.41,2313970723.3799076,-131319229.82012351,643293988.8502159
2021-01-01,2285471376.267195,2332073520.098112,-87693498.11584939,41091354.28493261
2021-02-01,2966339841.99,2343936891.805745,-49083669.46307379,671486619.6473284
2021-03-01,2629442672.472062,2356499733.2308445,222885505.64203978,50057433.59917784
2021-04-01,2082749222.6808052,2370885413.0575595,-266316229.3561047,-21819961.020649433
2021-05-01,2204463683.9718976,2385422504.0254717,-144178160.08936065,-36780659.96421337
2021-06-01,2088545436.31,2398504785.8898926,-255015422.54838735,-54943927.03150511
2021-07-01,2244200879.77,2409685100.1481,498232945.6682492,-663717166.046349
2021-08-01,2669215375.133967,2418775842.099407,-196641244.21168077,447080777.2462406
2021-09-01,2389120196.85271,2426246050.9755406,-62116554.03158871,24990699.908757687
2021-10-01,2332625184.2554703,2433275549.893599,515355950.9476095,-616006316.5857382
2021-11-01,2458292510.791452,2440555625.3299837,-68866712.14917307,86603597.61064148
