supplier,n_transactions,total_amount,mean_amount,anomaly_rate,mean_anomaly_score,rule_flag_rate,is_hub_supplier,composite_risk_score,risk_tier
GREATER LONDON AUTHORITY,5,1850000.0,370000.0,0.4,0.00749099739417082,1.0,False,99.83251855875429,Critical
VAN DESSELL & PARTNERS,5,623406.68,124681.33600000001,0.2,-0.028812938476317117,0.4,False,97.56925583921782,Critical
STAFFORDSHIRE COUNTY COUNCIL,5,4817538.39,963507.678,0.2,-0.0315097851763404,0.4,False,97.50588448307079,Critical
KENT COUNTY COUNCIL (EXCH SEC MAIDSTONE),16,14727768.23,920485.514375,0.1875,-0.04943990947640877,0.4375,False,96.8857504979178,Critical
GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2477,4622934392.34,1866344.1228663707,0.18772708922083164,-0.025829252275657234,0.3605167541380703,True,96.81332609089262,Critical
CITY OF STOKE ON TRENT,7,7301056.0,1043008.0,0.14285714285714285,-0.052844706764256275,0.42857142857142855,False,96.1479268513489,Critical
DRAYTON MEDICAL PRACTICE,6,702355.74,117059.29,0.16666666666666666,-0.027159356161283284,0.3333333333333333,False,96.04834329168929,Critical
LONDON COUNCILS,7,247000.0,35285.71428571428,0.14285714285714285,-0.054623093295519884,0.42857142857142855,False,96.01213108817672,Critical
LGBT FOUNDATION LTD,6,662603.0,110433.83333333333,0.16666666666666666,-0.028371906852386733,0.3333333333333333,False,96.01213108817672,Critical
GREATER MANCHESTER COMBINED AUTHORITY (GMCA),12,5810184.49,484182.04083333333,0.08333333333333333,-0.05509241705011952,0.6666666666666666,False,95.93970668115155,Critical
ICF CONSULTING SERVICES LTD,7,583655.23,83379.31857142856,0.14285714285714285,0.0035879606999836,0.2857142857142857,False,94.95292413543363,Critical
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1852,3947803655.74,2131643.44262419,0.10475161987041037,-0.038815613849387365,0.3255939524838013,True,94.6405938801376,Critical
ASSURA HC LTD,6,5535783.66,922630.61,0.3333333333333333,-0.061049705754732016,0.3333333333333333,False,94.63154082925945,Critical
BERRY LANE MEDICAL CENTRE,7,909711.12,129958.73142857142,0.14285714285714285,-0.0758314097977473,0.5714285714285714,False,94.58174904942965,Critical
BARTON SURGERY (DAWLISH),8,497597.44,62199.68,0.25,-0.0736897313733719,0.375,False,94.3735288792323,Critical
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1415,3169790376.76,2240134.541879859,0.07420494699646643,-0.06039864655367102,0.3710247349823322,True,93.82581930110447,Critical
INOVEM LTD,10,5285185.84,528518.584,0.1,-0.04131260540158579,0.3,False,93.72170921600579,Critical
KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1740,3628036576.94,2085078.492494253,0.09195402298850575,-0.048035270658001526,0.314367816091954,False,93.70812963968856,Critical
UNITED HEALTHCARE DEVELOPMENTS LTD,13,12201166.66,938551.2815384616,0.07692307692307693,-0.07670265625933809,0.5384615384615384,False,93.52706862212565,Critical
CPGM HEALTHCARE LTD CHL,6,1579114.28,263185.7133333333,0.16666666666666666,-0.07060712002965173,0.3333333333333333,False,93.27810972297664,Critical
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,1413,3484621379.39,2466115.625895258,0.07784854918612881,-0.05729879138754289,0.32696390658174096,True,93.11968133260908,Critical
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1683,3584074227.16,2129574.70419489,0.0784313725490196,-0.05467067335604068,0.3137254901960784,True,93.00651819663227,Critical
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1515,3222575926.92,2127112.823049505,0.07260726072607261,-0.0586490515431502,0.3287128712871287,True,92.88430200977729,Critical
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2174,3847650435.07,1769848.4061959523,0.08325666973321068,-0.03914899676434773,0.2828886844526219,True,92.85714285714286,Critical
UNI HOSPITAL SOUTHAMPTON NHS FT,1217,3149223900.19,2587694.2483073133,0.06327033689400165,-0.0656921448831723,0.35579293344289237,True,92.73945319572695,Critical
MILTON KEYNES COUNCIL,9,4509500.0,501055.55555555556,0.1111111111111111,-0.08297955173838728,0.4444444444444444,False,92.71229404309251,Critical
NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1245,3691344425.04,2964935.2811566265,0.07068273092369477,-0.06508580801854241,0.3365461847389558,True,92.67608183957994,Critical
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1326,3038810110.99,2291711.9992383104,0.058823529411764705,-0.06270170594962395,0.34464555052790347,True,92.63534311062827,Critical
OUTCOMES BASED HEALTHCARE LTD,27,20764376.770000003,769050.9914814816,0.037037037037037035,-0.07570034513087763,0.5185185185185185,False,92.61271048343292,Critical
MONITOR,5,8323595.2,1664719.04,0.4,-0.009300932856701239,0.2,False,92.46333514394351,Critical
BARTS HEALTH NHS TRUST,1504,4433698992.83,2947938.16012633,0.07845744680851063,-0.05341608761688523,0.293218085106383,True,92.45880861850443,Critical
HEATHFIELD SURGERY,5,279593.3,55918.659999999996,0.2,0.00532742619559646,0.2,False,92.44975556762628,Critical
MANCHESTER CENTRAL CONVENTION COMPLEX,10,15068250.049999999,1506825.005,0.2,-0.002699814402980401,0.2,False,92.32301285533224,Critical
GENOMICS ENGLAND LTD,29,82465973.34,2843654.2531034485,0.06896551724137931,-0.05942553370877266,0.3103448275862069,False,92.29585370269781,Critical
