method,injection_type,recall,n
isolation_forest,invoice_inflation,0.1103,136
isolation_forest,ghost_vendor_burst,0.4552,134
isolation_forest,round_number_kickback,0.0538,130
local_outlier_factor,invoice_inflation,0.0368,136
local_outlier_factor,ghost_vendor_burst,0.0,134
local_outlier_factor,round_number_kickback,0.0308,130
one_class_svm,invoice_inflation,0.0368,136
one_class_svm,ghost_vendor_burst,0.0,134
one_class_svm,round_number_kickback,0.0308,130
autoencoder,invoice_inflation,0.0368,136
autoencoder,ghost_vendor_burst,0.0,134
autoencoder,round_number_kickback,0.0231,130
